subjectnumber	subjectID	Sequence	Order of Block (concordant or discordant)
sub-001	1H1	7	concordant
sub-002	1H2	7	concordant
sub-003	2H1	11	concordant
sub-004	2H2	11	concordant
sub-005	3H1	7	discordant
sub-006	3H2	7	discordant
sub-007	4H1	12	discordant
sub-008	4H2	12	discordant
sub-009	5H1	8	discordant
sub-010	5H2	8	discordant
sub-011	6H2	9	concordant
sub-012	7H2	12	concordant
sub-013	8H1	12	discordant
sub-014	8H2	12	discordant
sub-015	9H1	9	discordant
sub-016	9H2	9	discordant
sub-017	10H1	8	concordant
sub-018	10H2	8	concordant
sub-019	11H1	7	concordant
sub-020	11H2	7	concordant
sub-021	12H1	11	discordant
sub-022	12H2	11	discordant
sub-023	13H1	11	concordant
sub-024	13H2	11	concordant
sub-025	14H1	10	discordant
sub-026	14H2	10	discordant
sub-027	15H1	9	concordant
sub-028	15H2	9	concordant
sub-029	16H1	10	concordant
sub-030	16H2	10	concordant
sub-031	17H1	10	discordant
sub-032	17H2	10	discordant
sub-033	18H1	8	discordant
sub-034	18H2	8	discordant
sub-035	19H1	7	discordant
sub-036	19H2	7	discordant
sub-037	20H1	12	concordant
sub-038	20H2	12	concordant
sub-039	21H1	9	discordant
sub-040	21H2	9	discordant
sub-041	22h1	7	concordant
sub-042	22h2	7	concordant
sub-043	23h1	12	discordant
sub-044	23h2	12	discordant
sub-045	24h1	7	concordant
sub-046	24h2	7	concordant
sub-047	25h1	11	concordant
sub-048	25h2	11	concordant
sub-049	26h1	8	discordant
sub-050	26h2	8	discordant
sub-051	27h1	9	concordant
sub-052	27h2	9	concordant
sub-053	28h1	12	discordant
sub-054	28h2	12	discordant
sub-055	29h1	12	discordant
sub-056	29h2	12	discordant
sub-057	30h1	9	discordant
sub-058	30h2	9	discordant
sub-059	31h1	8	discordant
sub-060	31h2	8	discordant
sub-061	32h1	11	concordant
sub-062	32h2	11	concordant
sub-063	33h1	7	concordant
sub-064	33h2	7	concordant
sub-065	34h1	11	concordant
sub-066	34h2	11	concordant
sub-067	35h1	10	discordant
sub-068	35h2	10	discordant
sub-069	36h1	9	concordant
sub-070	36h2	9	concordant
sub-071	37h1	10	discordant
sub-072	37h2	10	discordant
